feature,scores
3-gene_classifier_subtype,0.15755578820657137
acvrl1_mut,0.00034764941286634696
adgra2_mut,0.08508278504645891
afdn_mut,0.08103231453072599
aff2_mut,0.014119884618346451
age_at_diagnosis,0.006238689523171703
agmo_mut,0.01191242783460666
agtr2_mut,0.048982421315991134
ahnak2_mut,0.011603364331541554
ahnak_mut,0.0453582475074753
akap9_mut,0.037184420841369
akt1_mut,0.046404835451298865
akt2_mut,0.023434314399389682
alk_mut,0.041231561467790265
apc_mut,0.10963568626670242
arid1a_mut,0.038393426953771057
arid1b_mut,0.004964095672271319
arid2_mut,0.028262123952122478
arid5b_mut,0.0664519245677884
asxl1_mut,0.015473802335879647
asxl2_mut,0.20844300126938026
atr_mut,0.030028222306733427
bap1_mut,0.07549492424607787
bcas3_mut,0.0208121315470103
birc6_mut,0.1292365278796755
braf_mut,0.021103000507002118
brca1_mut,0.05504455366104127
brca2_mut,0.019076819282417813
brip1_mut,0.006472097109135512
cacna2d3_mut,0.05070880481750499
cancer_type,0.0
cancer_type_detailed,0.05112432043401336
casp8_mut,0.00548739543029112
cbfb_mut,0.017430450136865932
ccnd3_mut,0.02089397064314452
cdh1_mut,0.032973473675352465
cdkn1b_mut,0.021549771370498055
cdkn2a_mut,0.08311600096797413
cellularity,0.10269022825179933
chd1_mut,0.07230386745134897
chek2_mut,0.023860557362392305
chemotherapy,0.028925973470054968
clk3_mut,0.05212959741486743
clrn2_mut,0.09655965948210073
cohort,0.04148283667661641
col12a1_mut,0.011755439765289661
col22a1_mut,0.036148118884545034
col6a3_mut,0.01964421548413309
ctcf_mut,0.0823508871529968
ctnna1_mut,0.020661488600124612
ctnna3_mut,0.014862583524371394
dcaf4l2_mut,0.008010389064691058
dnah11_mut,0.13244012566476615
dnah2_mut,0.01126840489060143
dnah5_mut,0.017296248214032313
dtwd2_mut,0.06491506854703066
egfr_mut,0.13180348933901787
ep300_mut,0.006905615493414615
er_status,0.015551391103425216
er_status_measured_by_ihc,0.007723215782511126
erbb2_mut,0.035037734680992125
erbb3_mut,0.06866815491842823
erbb4_mut,0.031741293695820655
fam20c_mut,0.13497804161340446
